plastico,plástico,
sillon,sillón,
via,vía,
cancer,cáncer,
fantasia,fantasía,
fisico,físico,
miercoles,miércoles,
sensacion,sensación,
unica,única,
cajon,cajón,
carton,cartón,
eleccion,elección,
jabon,jabón,
maiz,maíz,
satisfaccion,satisfacción,
america,América,
conversacion,conversación,
credito,crédito,
decision,decisión,
oracion,oración,
quizas,quizás,
debil,débil,
explosion,explosión,
tio,tío,
agil,ágil,
ALEGRIA,ALEGRIA,
analisis,análisis,
aqui,aquí,
depresion,depresión,
estacion,estación,
fragil,frágil,
geografia,geografía,
ilusion,ilusión,
inglaterra,Inglaterra,
melodia,melodía,
movil,móvil,
posicion,posición,
quimica,química,
raton,ratón,
sabado,sábado,
zoologico,zoológico,
ahi,ahí,
area,área,
bondi,bondi,
fin de semana,fin de semana,
geometria,geometría,
humedo,húmedo,
salon,salón,
antiguedad,antigüedad,
calido,cálido,
conexion,conexión,
electronico,electrónico,
espiritu,espíritu,
inutil,inútil,
mexico,México,
principe,príncipe,
rapida,rápida,
arcoiris,arcoiris,
capitan,capitán,
nacion,nación,
precaucion,precaución,
preocupacion,preocupación,
profesion,profesión,
pure,puré,
ser vivo,ser vivo,
verguenza,vergüenza,
adios,adiós,
alla,alla,
angel,ángel,
asia,Asia,
comprension,comprensión,
concentracion,concentración,
google,Google,
identico,idéntico,
italia,Italia,
leon,león,
monarquia,monarquía,
no se,no se,
punteria,puntería,
termometro,termómetro,
volcan,volcán,
asi,así,
baston,bastón,
biologia,biología,
boton,botón,
cientifico,científico,
comoda,cómoda,
creacion,creación,
de pie,de pie,
distraccion,distracción,
divercion,diversión,
egoismo,egoísmo,
identificacion,identificación,
jamon,jamón,
medicos,médicos,
peliculas,películas,
proximo,próximo,
vacia,vacía,
adiccion,adicción,
antartida,Antártida,
beisbol,béisbol,
baseball,béisbol,
baseboll,béisbol,
baisboll,béisbol,
baseball,béisbol,
caracteristica,característica,
centimetro,centímetro,
clasico,clásico,
dedicacion,dedicación,
destruccion,destrucción,
empatía,empatía,
espectaculo,espectáculo,
estupido,estúpido,
europa,Europa,
football,fútbol,
increible,increíble,
jerarquia,jerarquía,
lejania,lejanía,
limon,limón,
mecanico,mecánico,
ok,ok,
periodico,periódico,
region,región,
tennis,tenis,
tristesa,tristeza,
almacen,almacén,
ARBOL,ARBOL,
asociacion,asociación,
automovil,automóvil,
blanco y negro,blanco y negro,
decada,década,
electrica,eléctrica,
electrico,eléctrico,
evolucion,evolución,
faltante,faltante,
helicoptero,helicóptero,
japon,Japón,
jesús,Jesús,
maria,María,
mia,mía,
musculos,músculos,
orientacion,orientación,
papa noel,papa noel,
parking,parking,
pc,PC,
poesia,poesía,
presion,presión,
punto cardinal,punto cardinal,
representacion,representación,
respiracion,respiración,
utensillo,utensilio,
water,water,
anatomia,anatomía,
buenos aires,buenos aires,
caida,caída,
mas temprano,más temprano,
cocaina,cocaína,
contaminacion,contaminación,
convivencia,convivencia,
corrupcion,corrupción,
cuestion,cuestión,
discriminacion,discriminación,
einstein,Einstein,
formacion,formación,
habil,hábil,
hipotesis,hipótesis,
marmol,mármol,
mas tarde,más tarde,
mecanica,mecánica,
mujica,Mujica,
psicologa,psicóloga,
panico,pánico,
papas fritas,papas fritas,
presentacion,presentación,
psicologo,psicólogo,
rectangulo,rectángulo,
talvez,tal vez,
vertigo,vértigo,
afirmacion,afirmación,
bambi,Bambi,
batman,Batman,
caparazon,caparazón,
codigo,código,
craneo,cráneo,
cuestionamiento,cuestionamiento,
desesperacion,desesperación,
discusion,discusión,
dracula,Drácula,
economico,económico,
etica,ética,
ficcion,ficción,
filosofia,filosofía,
FUTBOL,FUTBOL,
globalizacion,globalización,
motivacion,motivación,
opinion,opinión,
poker,póker,
psicologia,psicología,
reaccion,reacción,
recreacion,recreación,
republica,república,
simpson,Simpson,
superheroe,superhéroe,
telefonica,telefónica,
almohadon,almohadón,
apagon,apagón,
arco iris,arco iris,
articulos,artículos,
buho,búho,
centimetros,centímetros,
cercania,cercanía,
coca cola,coca cola,
compania,compañía,
contencion,contención,
DIA,DIA,
envio,envío,
grecia,Grecia,
imagenes,imágenes,
incognita,incógnita,
institucion,institución,
mediodia,mediodía,
metodo,método,
multiplicacion,multiplicación,
obstaculo,obstáculo,
quimico,químico,
raiz,raíz,
represion,represión,
seleccion,selección,
semaforo,semáforo,
tecnico,técnico,
valentia,valentía,
vias,vías,
algodon,algodón,
ataud,ataúd,
balon,balón,
basico,básico,
campeon,campeón,
caperucita,Caperucita,
catolico,católico,
celebracion,celebración,
champion,champión,
cinturon,cinturón,
de agua,de agua,
decoracion,decoración,
descanzo,descanso,
dibujitos,dibujitos,
discucion,discusión,
duo,dúo,
exámen,examen,
heroe,héroe,
horoscopo,horóscopo,
ingenieria,ingeniería,
inversion,inversión,
kilometros,kilómetros,
lacteo,lácteo,
magico,mágico,
PAJARO,PAJARO,
papá noel,papá noel,
percepcion,percepción,
planificacion,planificación,
poblacion,población,
policias,policías,
politicos,políticos,
por qué,por qué,
posesion,posesión,
raices,raíces,
reflexion,reflexión,
resolucion,resolución,
rigido,rígido,
satelite,satélite,
transpiracion,transpiración,
admiracion,admiración,
aguila,águila,
al blanco,al blanco,
anfitrion,anfitrión,
basquet,básquetbol,
borges,Borges,
buso,buzo,
carnivoro,carnívoro,
celula,célula,
ceramica,cerámica,
citrico,cítrico,
conclusion,conclusión,
corner,córner,
edad media,edad media,
epoca,época,
equivocacion,equivocación,
espectativa,expectativa,
explicacion,explicación,
fantastico,fantástico,
fm,fm,
francia,Francia,
historico,histórico,
innovacion,innovación,
jovenes,jóvenes,
locomocion,locomoción,
mafalda,Mafalda,
magica,mágica,
me gusta,me gusta,
medicion,medición,
melancolia,melancolía,
mesa de luz,mesa de luz,
monton,montón,
oidos,oídos,
organos,órganos,
perfeccion,perfección,
platano,plátano,
prestamo,préstamo,
RELIGION,RELIGION,
superman,Superman,
utopia,utopía,
vocacion,vocación,
windows,Windows,
A,a,
acojedor,acogedor,
Africa,África,
alimentacion,alimentación,
américa,América,
basket,básquetbol,
basketball,básquetbol,
beatles,Beatles,
carbon,carbón,
cesped,césped,
charlatan,charlatán,
colombia,Colombia,
desinteres,desinterés,
disney,Disney,
economica,económica,
EEUU,Estados Unidos,
egoista,egoísta,
electronica,electrónica,
erroneo,erróneo,
etereo,etéreo,
exit,exit,
exposicion,exposición,
extincion,extinción,
freud,freud,
funcion,función,
ganzo,ganso,
gas oil,gasoil,
guardian,guardián,
harry potter,Harry Potter,
iluminacion,iluminación,
inyeccion,inyección,
jóven,joven,
latigo,látigo,
liberacion,liberación,
limitacion,limitación,
logica,lógica,
mercaderia,mercadería,
natacion,natación,
negatividad,negatividad,
ninos,niños,
nutricion,nutrición,
pizarron,pizarrón,
portatil,portátil,
precision,precisión,
refran,refrán,
restaurant,restaurante,
sarten,sartén,
satanas,satanás,
sofa,sofá,
sonreir,sonreír,
superacion,superación,
tradicion,tradición,
usb,USB,
ute,UTE,
vehiculos,vehículos,
votacion,votación,
aceptacion,aceptación,
acuatico,acuático,
acumulacion,acumulación,
administracion,administración,
album,álbum,
alcoholica,alcohólica,
amarrillo,amarillo,
atmosfera,atmósfera,
atomica,atómica,
atomo,átomo,
autobus,autobús,
buenisimo,buenísimo,
burgues,burgués,
calorias,calorías,
canelones,canelones,
categoria,categoría,
cientificos,científicos,
clasificacion,clasificación,
coleccion,colección,
cuadrupedo,cuadrúpedo,
demostracion,demostración,
descripcion,descripción,
desición,decisión,
disfrutable,disfrutable,
distincion,distincion,
eeuu,Estados Unidos,
elastica,elástica,
electrodomestico,electrodoméstico,
empatia,empatía,
estadistica,estadística,
estetica,estética,
evaluacion,evaluación,
fotosintesis,fotosíntesis,
frustracion,frustración,
goze,goce,
habia,había,
helice,hélice,
huesped,huésped,
idem,ídem,
imágen,imagen,
inconciente,inconsciente,
integracion,integración,
la vida,la vida,
loteria,lotería,
lugubre,lúgubre,
mc donalds,Mc Donald's,
minimo,mínimo,
mitologia,mitología,
morron,morrón,
multiple,múltiple,
murcielago,murciélago,
Musica,música,
no existe,no existe,
online,online,
ortografia,ortografía,
paraiso,paraíso,
parrillero,parrillero,
porqué,por qué,
patron,patrón,
pelotita,pelotita,
piramide,pirámide,
pocion,poción,
por que,por qué,
preparacion,preparación,
pulmon,pulmón,
rayos x,Rayos X,
relampago,relámpago,
reproduccion,reproducción,
revolucion,revolución,
romantico,romántico,
sahara,Sahara,
simbolico,simbólico,
subterraneo,subterráneo,
telon,telón,
tension,tensión,
trebol,trébol,
vicera,visera,
violin,violín,
wisky,whisky,
academico,académico,
acaros,ácaros,
aceleracion,aceleración,
acusacion,acusación,
agresion,agresión,
alchol,alcohol,
alli,allí,
ana,Ana,
artesania,artesanía,
artistico,artístico,
aspero,áspero,
astronomia,astronomía,
autoctono,autóctono,
basquetbol,básquetbol,
baul,baúl,
belico,bélico,
bic,BIC,
buzon,buzón,
cadaver,cadáver,
calificacion,calificación,
carlos,Carlos,
catolica,católica,
circulos,círculos,
comfort,confort,
comica,cómica,
compasion,compasión,
complicacion,complicación,
computacion,computación,
comunion,comunión,
cos,cos,
crater,cráter,
cutcsa,CUTCSA,
darwin,Darwin,
definicion,definición,
demas,demás,
desicion,decisión,
dimension,dimensión,
discución,discusión,
divicion,división,
dni,DNI,
docil,dócil,
duracion,duración,
elevacion,elevación,
escorpio,Escorpio,
espia,espía,
estación de servicio,estación de servicio,
eva,Eva,
fé,fe,
felíz,feliz,
fidel,Fidel,
foucault,Foucault,
fraccion,fracción,
Futbol,fútbol,
gym,gym,
humeda,húmeda,
huracan,huracán,
imposicion,imposición,
indicacion,indicación,
informatica,informática,
insertidumbre,incertidumbre,
inspeccion,inspección,
interaccion,interacción,
interpretacion,interpretación,
intrumento,instrumento,
jose,José,
jupiter,Júpiter,
manifestacion,manifestación,
màs,más,
melon,melón,
monotono,monótono,
movie,movie,
nike,Nike,
no hay,no hay,
ñandu,ñandú,
oposicion,oposición,
opresion,opresión,
oprtunidad,oportunidad,
oscar,Óscar,
oviparo,ovíparo,
para todos,para todos,
paris,París,
particulas,partículas,
patagonia,Patagonia,
peluqueria,peluquería,
porcion,porción,
preposicion,preposición,
privacion,privación,
produccion,producción,
psiquiatrico,psiquiátrico,
ràpido,rápido,
regimen,régimen,
relajacion,relajación,
repeticion,repetición,
reposera,reposera,
salmon,salmón,
salvacion,salvación,
seduccion,seducción,
shrek,Shrek,
simpatica,simpática,
simpsons,Simpson's,
sms,SMS,
tentaculos,tentáculos,
tia,tía,
tinelli,Tinelli,
torax,tórax,
utencilio,utensilio,
utencillo,utensilio,
vegetacion,vegetación,
volatil,volátil,
abogacia,abogacía,
acida,ácida,
aereo,aéreo,
aglomeracion,aglomeración,
aji,ají,
alaja,alhaja,
ambicion,ambición,
anotacion,anotación,
antel,ANTEL,
antonio,Antonio,
apostoles,apóstoles,
armazon,armazón,
asiatico,asiático,
aspera,áspera,
atletico,atlético,
automatico,automático,
B,b,
bajon,bajón,
bandoneon,bandoneón,
birodado,birrodado,
blancanieves,Blancanieves,
boligrafo,bolígrafo,
bombon,bombón,
boñato,boniato,
brujula,brújula,
buscaglia,Buscaglia,
calida,cálida,
camaras,cámaras,
cañon,cañón,
cardiaco,cardíaco,
carpinteria,carpintería,
catastrofe,catástrofe,
celulas,células,
chupetin,chupetín,
chusmerio,chusmerío,
circulacion,circulación,
ciudadania,ciudadanía,
civilizacion,civilización,
cocacola,Coca cola,
comico,cómico,
comparacion,comparación,
compas,compás,
compu,compu,
comunicaciòn,comunicación,
condicion,condición,
condon,condón,
coneccion,conexión,
constitucion,constitución,
cubicos,cúbicos,
cumpleaño,cumpleaños,
deciciones,decisiones,
deficit,déficit,
descanzar,descansar,
descartable,descartable,
despreocupacion,despreocupación,
difrutar,disfrutar,
disposicion,disposición,
distraido,distraído,
drácula,Drácula,
e-mail,email,
ecologia,ecología,
EDUCACION,EDUCACION,
efimero,efímero,
escalafon,escalafón,
escencia,esencia,
eslabon,eslabón,
estandar,estándar,
extasis,éxtasis,
fenomeno,fenómeno,
fogon,fogón,
fotografia,fotografía,
frìo,frío,
generacion,generación,
gimnacia,gimnasia,
gimnacio,gimnasio,
graduacion,graduación,
grafico,gráfico,
gramatica,gramática,
GRANJA,GRANJA,
h2o,h2o,
halley,Halley,
halloween,Halloween,
harry,Harry,
help,help,
hipocrita,hipócrita,
holando,holando,
hollywood,Hollywood,
hormigon,hormigón,
idoneo,idóneo,
imbecil,imbécil,
incandecente,incandescente,
inconciencia,inconsciencia,
indecision,indecisión,
infusion,infusión,
jajajaja,jajajaja,
jarron,jarrón,
latex,látex,
leido,leído,
libelula,libélula,
lo mejor,lo mejor,
lost,lost,
ludico,lúdico,
maldicion,maldición,
mamà,mamá,
manana,mañana,
manipulacion,manipulación,
manuelita,Manuelita,
maraton,maratón,
más tarde,más tarde,
mastil,mástil,
meditacion,meditación,
méxico,México,
mickey,Mickey,
millon,millón,
minima,mínima,
miopia,miopía,
mision,misión,
muzarella,muzzarella,
muzzarela,muzzarella,
nino,niño,
nucleo,núcleo,
nuemero,número,
o nada,o nada,
observacion,observación,
ocasion,ocasión,
optica,óptica,
órden,orden,
otra vez,otra vez,
pablo,Pablo,
parrafo,párrafo,
pasiencia,paciencia,
peaton,peatón,
percusion,percusión,
perez,Pérez,
peter,Peter,
pezca,pesca,
picazon,picazón,
plantacion,plantación,
polici,policía,
porton,portón,
programacion,programación,
projimo,prójimo,
proposito,propósito,
proteina,proteína,
psiquiatrica,psiquiátrica,
que?,qué,
quiroga,Quiroga,
recompenza,recompensa,
redaccion,redacción,
remuneracion,remuneración,
renovacion,renovación,
resfrio,resfrío,
restoran,restaurante,
robin hood,Robin Hood,
rodriguez,Rodríguez,
saltarin,saltarín,
sanacion,sanación,
seccion,sección,
shakespeare,Shakespeare,
simetria,simetría,
simpatia,simpatía,
sistema solar,sistema solar,
sobrevivencia,supervivencia,
sonrrisa,sonrisa,
subordinacion,subordinación,
tabu,tabú,
tactica,táctica,
tambien,también,
tazmania,Tasmania,
tentaculo,tentáculo,
teoria,teoría,
terminacion,terminación,
tiburon,tiburón,
tic tac,tic tac,
tiro al blanco,tiro al blanco,
treinta y tres,treinta y tres,
trsite,triste,
tunel,túnel,
vacìo,vacío,
Valentía,Valentía,
venezuela,Venezuela,
aclaracion,aclaración,
adicion,adición,
adoquin,adoquín,
aerea,aérea,
agonia,agonía,
agrupacion,agrupación,
aladin,Aladín,
aladino,Aladín,
alaska,Alaska,
alcancia,alcancía,
alegrìa,alegría,
aleman,alemán,
algebra,álgebra,
am,AM,
ancap,ANCAP,
anelo,anhelo,
angeles,ángeles,
animalito,animalizo,
antiguedades,antigüedades,
antitesis,antítesis,
aplicacion,aplicación,
apple,Apple,
arabe,árabe,
aracnido,arácnido,
ariel,Ariel,
aritmetica,aritmética,
aromatico,aromático,
asecino,asesino,
atraccion,atracción,
atrapante,atrapante,
aujero,agujero,
autorizacion,autorización,
baldio,baldío,
bambu,bambú,
bano,vano,
basquetball,básquetbol,
baterias,baterías,
benedetti,Benedetti,
big bang,Big Bang,
bordaberry,Bordaberry,
buchon,buchón,
calculos,cálculos,
camila,Camila,
camiòn,camión,
camison,camisón,
cantida,cantidad,
capás,capaz,
capáz,capaz,
carabana,caravana,
carino,cariño,
carniboro,carnívoro,
celcius,Celsius,
celsius,Celsius,
cerrucho,serrucho,
changuito,changuito,
chimpance,chimpancé,
clinica,clínica,
cobardia,cobardía,
comodida,comodidad,
comodos,cómodos,
compartit,compartir,
concluído,concluido,
condorito,Condorito,
conección,conexión,
confusion,confusión,
conpartir,compartir,
conservacion,conservación,
cónyugue,cónyuge,
contruccion,construcción,
convencion,convención,
conyuge,cónyuge,
conyugue,cónyuge,
cooperacion,cooperación,
cordon,cordón,
crustaceo,crustáceo,
cutsa,CUTCSA,
debito,débito,
decepcion,decepción,
delfin,delfín,
delimitacion,delimitación,
desafios,desafíos,
despota,déspota,
diametro,diámetro,
difusion,difusión,
distencion,distensión,
distension,distensión,
diu,DIU,
diverción,diversión,
dominacion,dominación,
don quijote,Don Quijote,
dragon,dragón,
dumbo,Dumbo,
dvd,DVD,
ecologica,ecológica,
exitada,excitada,
exitado,excitado,
encuadernacion,encuadernación,
exitación,excitación,
escalofrio,escalofrío,
escalon,escalón,
escazo,escaso,
estatico,estático,
estiercol,estiércol,
eucaliptus,Eucaliptus,
excel,Excel,
exclamacion,exclamación,
excluído,excluido,
exelente,excelente,
exitar,excitar,
expancion,expansión,
explocion,explosión,
eyaculacion,eyaculación,
faina,fainá,
fantasia,fantasía,
far west,Far West,
ferreteria,ferretería,
fluo,flúo,
fluor,flúor,
frances,francés,
fué,fue,
fueza,fuerza,
funebre,fúnebre,
galardon,galardón,
geografico,geográfico,
gerra,guerra,
gestion,gestión,
girafa,jirafa,
gmail,Gmail,
gondolas,góndolas,
griz,gris,
groseria,grosería,
guri,gurí,
habilitacion,habilitación,
habitab,hábitat,
herreria,herrería,
higado,hígado,
higienico,higiénico,
hipotetico,hipotético,
histerica,histérica,
hitler,Hitler,
hollin,hollín,
huerfano,huérfano,
ideologia,ideología,
idolo,ídolo,
impresion,impresión,
inauguracion,inauguración,
indigenas,indígenas,
infeccion,infección,
inflacion,inflación,
informatico,informático,
instruccion,instrucción,
intencion,intención,
invencion,invención,
invitacion,invitación,
israel,Israel,
item,ítem,
joyeria,joyería,
justificacion,justificación,
lcd,LCD,
league of legends,League of Legends,
maletin,maletín,
manuel,Manuel,
maradona,Maradona,
marley,Marley,
matematico,matemático,
matillo,martillo,
maximo,máximo,
mayoria,mayoría,
medicacion,medicación,
medioambiente,medio ambiente,
menstruacion,menstruación,
metrica,métrica,
momentaneo,momentáneo,
monotonia,monotonía,
morfeo,Morfeo,
muscia,música,
musico,músico,
nemo,Nemo,
new york,New York,
nilo,Nilo,
noel,Noel,
numerica,numérica,
nuves,nubes,
obeja,oveja,
obsesion,obsesión,
obstaculos,obstáculos,
obtencion,obtención,
ocupacion,ocupación,
ojos cerrados,ojos cerrados,
olimpico,olímpico,
ondo,hondo,
operacion,operación,
oseo,óseo,
otorrino,otorrinolaringólogo,
panama,Panamá,
paralisis,parálisis,
parentezco,parentesco,
Paris,París,
participacion,participación,
patetico,patético,
pequeno,pequeño,
perdio,perdió,
persecucion,persecución,
picardia,picardía,
picaro,pícaro,
piolin,piolín,
pittamiglio,Pittamiglio,
piza,pizza,
platon,Platón,
polucion,polución,
popeye,Popeye,
precausion,precaución,
precidente,presidente,
principes,príncipes,
prosegur,Prosegur,
proteinas,proteínas,
protejer,proteger,
psiquiatria,psiquiatría,
pua,púa,
publicacion,publicación,
punta del este,Punta del Este,
recien,recién,
SOS,S.O.S.,
renglon,renglón,
reuniòn,reunión,
sos,S.O.S.,
ridiculo,ridículo,
rie,ríe,
riezgo,riesgo,
rin,Rin,
rio de janeiro,Rio de Jaranero,
rodo,rodó,
roj,rojo,
s.o.s.,S.O.S.,
sagre,sangre,
saliba,saliva,
satan,satán,s
septimo,séptimo,
shakira,Shakira,
sherif,sheriff,
shoping,shopping,
simil,símil,
socializacion,socialización,
sucesion,sucesión,
superhéroe,superhéroe,
tabare,Tabaré,
tapon,tapón,
tarzan,Tarzán,
tasmania,Tasmania,
tectonica,tectónica,
tentacion,tentación,
tezón,tesón,
timon,timón,
trio,trío,
tripode,trípode,
trizteza,tristeza,
tuberculo,tubérculo,
tubo ensayo,tubo de ensayo,
tucuman,Tucumán,
Union,Unión,
utero,útero,
vagon,vagón,
veiculo,vehículo,
vertice,vértice,
violacion,violación,
vivora,víbora,
washington,Washington,
williams,Williams,
xxx,XXX,
zeppelin,Zeppelin,
posecion,posesión,
bethoven,Beethoven,
beetoven,Beethoven,
bethoveen,Beethoven,
coger,cojer,
